Comments ,Label
জব এর কথা বলে আমার থেকে ১২০০ টাকা নিয়েছে। ৫০০ টাকা ইনভেস্ট এর কথা বলে ১২০০ টাকা নিলো প্রতারক।,Fraud
বৃত্তির কথা বলে আমার থেকে আজকে ৩৫০০০ হাজার টাকা নিয়ে গেছে আল্লাহ যাদের ক্ষমা না করুক।,Fraud
ভাই আমার পরিচিতো এক জন মহিলা বিকাশ ভেরিফাই কোট টি বলার পর টাকা নিয়ে গেছে মহিলাটি সহজ সরল তো তাই বলে দিছে এখন কি করনিও,Fraud
কিছু দোষ চক্র কারীরা কোড নিয়ে বিকাশ হ্যাক করে নিয়ে গেছে এখন বিকাশ অফিসে ফোন দেওয়ার পরে বলছে যে এটার বিরুদ্ধে অভিযোগ করছে যদি টাকা পায় এসএমএসের মাধ্যমে জানিয়ে দেওয়া হবে আর না পেলেও টাকায় এসএমএস এর মাধ্যমে জানিয়ে দেয়া হবে এখন কি টাকা পাওয়া যাবে,Fraud
"ভাইয়া আজকে আমার বোন থেকে ৪ হাজার টাকা নিয়ে গেছে। ওনি না বুঝে পাসওয়ার্ড চাইছে দিয়ে দিছে, পিনও দিয়ে দিছে। এখন পিন চেঞ্জ করে ফেলছি। এখন কি কোনো সমস্যা হবে? তারা কি পাসওয়ার্ড এর মাধ্যমে আর টাকা নিতে পারবে ?",Fraud
আমার থেকে ১৫হাজার টাকা নিয়েছে আমি এ বিষয় গুলো জানতাম না তাই বুঝতে পারিনি।কিছুই করতে পারলাম না আমি ওদের বিরুদ্ধে,Partial Fraud
"আমার ফ্রেন্ড একটাকে এরকম কল দিয়েছিলো,তারপর ও আমার কাছে এনে দিছে,তারপর আমি কতা বললাম,ও আমাকে বলে মোবাইলে একটা মেসেজ দিছে এটার কোড অকে দিবো,তারপর বলে কোড না দিলে একাউন্ট বন্ধ করে দিবে,তারপর ওকে আমি গালগালি করে ফোন করে দেই,তারপর একাউন্ট বন্ধ করে দিয়েছে,তারপর আমি অফিস থেকে এটা ভোটার কার্ড নিয়ে সমস্যা সমাধান করে দেই।।",Partial Fraud
"আমার মোবাইলে এরকম ফোন আসছিলো। আমি বুঝতে পারি নাই আমাকে বলছে আমার একাউন্ট বন্ধ হয়ে যাবে?তারপর আমি বলি কার্যকর করে দেওয়ার জন্য?তারপর উনি আমার মোবাইলে মেসেজ পাটান এবং বলেন কোডগুলো বলার জন্য, আমি বলেছি এবং টাকা নিয়ে গেছে। ",Fraud
বিকাশ থেকে সিটি ব্যাংককে টাকা টান্সফার করেছি টাকা কেটে নিছে কিন্তু আমার ব্যাংক একাউন্ট এ টাকা জমা হয় নাই,Fraud
আমার স্বামীর বিকাশ একাউন্ট থেকে প্রতারকরা ভেরিফিকেশন নম্বরটা নিয়ে গেছে ,Fraud 
আমার বিকাশ একাউন্ট  থেকে টাকা কেটে নিচ্ছে কিন্তু কেন নিচ্ছে আমি জানি না ,Partial fraud
প্রতি সপ্তাহে আমার বিকাশ একাউন্ট থেকে ১৫ টাকা করে কেটে নেওয়া হচ্ছে,Partial fraud
"রিচার্জ করলে,টাকারও খবর নাই,এমবির ও খবর নাই।৩ তারিখের টাকা আজকে ২১ তারিখ এখনো পাই নাই",Partial fraud
"এটা প্রথম না আমি বিকাশ এজেন্ট প্রতারিত হয়েছি 2018 সালে  তিন টাকা কম ৪০,০০০/= নিয়েছে এই চক্র  আপনাদের কাছে প্রথম হতে পারে আমাদের কাছে অনেক পুরানো",Partial Fraud
আমি বিকাশ একাউন্ট এজেন্ট দ্বারা প্রতারিত হয়েছি 2018 সালে তিন টাকা কম 40000 টাকা নিয়ে যায়,Partial Fraud
আজকে ১৬৮৯ টাকা গেল আমার। কি করবো আমি। আল্লাহ এই শয়তান জানোয়ার দের ধংস করো।,Fraud
আমি বিকাশে 24000 টাকা প্রতারিত হয়েছি কিন্তু জেনে আমারও প্রতারিত হয়েছি ওই নাম্বারে ফোন দেওয়ার ফলে বলছে যে টাকা নাকি উঠিয়ে নিয়ে গেছে দুজন লোক এখন কি করবো,Fraud
আমার আব্বুর বিকাশ থেকে গতকাল রাতে 4000 হাজার একশত 60 টাকা নিয়েছে,Fraud
"ভাই আমাকে এক প্রতারক ফোন দিয়ে বলে তাকে ৫০০০ টাকা না দিলে সে আমার একাউন্ট লক করে রাখবে এখন তাকে আমি টাকা দেইনি আমার একাউন্ট বন্ধ হয়ে গেছে, আমার একাউন্টে প্রায় ২৮০০০ টাকা আছে",Partial Fraud
আমার অ্যাকাউন্ট থেকে পাঁচ হাজার টাকা নিয়ে গেছে একটা নাম্বার থেকে ফোন দিছিল আমিও বুঝতে পারি নাই যা যা বলছে করছি নিজের ভুলে সব গেল টাকাটা খুব প্রয়োজন ছিল,Fraud
আজ আমার একাউন্ট ব্লক হয়ে গেছে। তারপর একটা নম্বর দিছে বলছে যে আপনার পিন আর ওই নাম্বর যোগ করে যা হবে আমাকে বলেন। তারপর বলছে। এজেন্ট এর ঘর ১৮৫০০ টাকা আমার একাউন্ট এ আনতে।এজেন্ট পিন দিবে টাকা আসবে না একাউন্ট টিক হয়ে যাবে।ওর কথা মত কাজ করছি।তারপর ও আমার টাকা টা নিয়ে গেছে।,Fraud
আমি একজন স্টুডেন্ড.একটু আগে আমার ৩০০০ নিয়ে গেছে.আমার পিন বা কোন ওটিপি কেউ নেয় নি.,Partial Fraud
আমার কোডটি এবং পিন নিয়েছেন এখন আমার বিকাশে টাকা নাই৷ আর আমি বিকাশ পিন পরিবর্তন করছি,Fraud
আমাকে এই পর্যন্ত 100 বার ফোন দিয়েছে এই প্রতারক চক্র কিন্তু সহজ কোন মাধ্যমে জানানোর ব্যবস্থা না থাকায় আমি কাউকে জানাতে পারিনি,Partial Fraud
ভাই আমার ৭হাজারটাকা মেরে দিয়েছে,Fraud
সেম আমার থেকে ৩০ সেকেন্ড এর মধ্যে পিন কৌশলে নিয়ে নিয়েছে,Fraud
আমার সাথে আজ প্রতারণা হয়েছে আমার ১৪০৬৫ টাকা নিয়েছে,Fraud
"ভাইয়া আমার 6000টাকা হেক করেছে কাল,,,,,ফন নাম্বার ব্লক করে দিচে",Fraud
আমার 18180 টাকা নিয়েছে কাল,Fraud
আমাকে এরকম করে 2000টাকা নিয়ে গেছে,Fraud
আমার ৬৫০০ টাকা নিয়ে গেছে,Fraud
"ভাই ৯ অক্টোবর ২০২১,আমার বিকাশ থেকে ১২০০ টাকা হ্যাক করে নিয়ে গেছে। এখন আমি কি করবো।",Fraud
আজকে আমার মার ফোন থেকে ১৫০০০ টাকা নিয়ে গেছে,      Fruad
আমার ৯ হাজার টাকা নিয়ে গেছে,Partial Fruad
এই বিকাশ আমার বড় ভাই এর একাওন্ট থেকে ৫০হাজার টাকা নিয়ে গেছে। এর বিচার চাই,Partial Fraud
আমার ৫৯০০টাকা দেয়না এক দোকানদার।মেরে বাগিয়ে দিচে আমাকে।, Fraud
আমার নিছে ২০০০০ টাকা,Fraud
আমার ২৫হাজার টাকা মেরে দিছে।,Fraud
আমার ভাবীর ১০ হাজার টাকা মেরে দিয়েছে আজকে  ,Fraud
আমি ও ভুক্তভুগী 25000 taka,Partial  Fraud
১/৯/২০২০ইং সময় ১০:৩০ টা আমার বিকাশ থেকে ১২১৯৮টাকা নিয়ে গেছে আমি আমার বিকাশে টাকা রেখেছিলাম গুলশান১ নাভানা টাওয়ারে নিছে বাইর সাইডে একমুরবির বিকাশের দোকানে টাকা বিকাশে লোড করছিলাম সেই দিন তারিখ ৩১/৯/২০২০,Partial Farud
"আমার মামাত ভাইয়ের কাছ থেক দুই সাপ্থা আগে ৮৫ হাজার টাকা নিয়ে গিয়েছে,",Fraud
"আমার ২৫৫৫০ টাকা খেয়েছে,",Partial  Fraud
আমার ৫৫০০ টাকা মেরে দিয়েছে।,Fraud
আমার থেকে ৩০ হাজার টাকা নিয়ে গেছে।,Partial Fraud
আজকে আমার সাথে প্রতারণা করে ১৫০০০ টাকা নিছে গা এখন কি করা যাই ভাই।,Fraud
ভাই আমার কাছ থেকেও ২৫৫০০টাকা নিয়ে গেছে।,Partial  Fraud
আজকে সাত হাজার নিয়ে গেল আমার থেকে।,Partial  Fraud
আমার কাছ থেকে এই মাসে বার হাজার টাকা নিয়ে গেছে।,Partial Fraud
আমার ৪ হাজার টাকা নিয়েছে।,Fraud
আজকে আমার ছোট ভাইয়ের থেকে ১৫ হাজার টাকা নিয়ে গেছে। আমি কি,Partial Fraud
এটার জন্য কোনো পদক্ষেপ নিতে পারবো?,Partial Fraud
আজকে আমার থেকে ১৫৯০০ টাকা নিয়ে গেছে আমাকে বলদ বানিয়ে।,Fraud
"আজকে ২০ হাজার টাকা নিয়ে গেছে, রাজবাড়ী থেকে।",Partial Fraud
"আমার থেকেও নিয়ে গেছে ৪২২২ টাকা,১৭ জুলাই ২০২১",Partial Farud
আমার কাছ থেকে ২৭ হাজার ৫০০ টাকা নিয়ে গেছে প্রতারক।,Fraud
আমার থেকে ১৫০০০ টাকা নিয়ে গেছে প্রতারক।,Fraud
আজকে ১৬৮৯ টাকা গেল আমার। কি করবো আমি। আল্লাহ এই শয়তান জানোয়ার দের ধংস করো।,Partial Fraud
"আমার ২৫,৫০০/- আল্লাহ তুমিই সবচেয়ে বড় পরিকল্পনাকারী। এই রকম জানোয়ারদের তুমি ধ্বংস করো।",Partial Fraud
"ভাইয়া আমাদের ফোন থেকে কেউ একজন ৭৫০০০ হাজার টাকা নিয়ে নিয়েছে, সে আমাদের নাম্বারে ফোন দিয়ে  টাকা দেওয়ার কথা বলে পিন ও বিকাশ নাম্বার নিয়েছে এখন কী করব প্লিজ বলেন ভাইয়া।",Fraud
ভাই আমি এজেন্টের দিয়ে পাঠিয়েছিলাম । এখন তার ফোন বন্ধ । কিভাবে টাকা পাবো?? ১৭ টাকা,Partial  Fraud
"আমি বিকাশে ২৪০০০ টাকা প্রতারিত হয়েছি, কিন্তু জেনে আবারও প্রতারিত হয়েছি। ওই নাম্বারে ফোন দেওয়ার পরে  বলছে যে টাকা নাকি উঠিয়ে নিয়ে গেছে দুজন লোক। এখন কি করবো?",Fraud
ভাইয়া আমার আব্বুর বিকাশ থেকে গতকাল রাতে ৪০০০ হাজার একশত ৬০ টাকা নিয়েছে কি করবো এখন?,Partial Fraud
